Question;Answer 1 (correct);Answer 2;Answer 3;Answer 4;Link only https
Kraken und Kalmare gehören zur Tierklasse der ...? ;Kopffüßer;Hinterkiemer;Nesseltiere;Armflosser;https://www.lernhelfer.de/schuelerlexikon/biologie/artikel/weichtiere#
Wie viele Sterne hatte die amerikanische Flagge in Jahr 1777?;13;15;14;12;https://www1.wdr.de/stichtag/stichtag-sternenbanner-wird-flagge-der-usa-100.html
Welche Vulkaninsel tauchte 1963 vor Island aus dem Meer auf?;Surtsey;Brokey;Eldey;Grimsey;https://www.planet-schule.de/mm/die-erde/Barrierefrei/pages/Geburt_einer_Insel.html
Zu welchem Staat gehören die Galapagos-Inseln? ;Ecuador;El Salvador;Puerto Rico;Chile;https://www.lernhelfer.de/schuelerlexikon/geografie/artikel/galapagos-inseln-archipel-im-pazifik
Welches Land wurde nach einem Baum benannt? ;Brasilien;Bolivien;Nicaragua;Argentinien;https://www.iberostar.com/de/inspiration-guide/reisen/besonderheiten-brasilien/
"Wer schrieb das Chanson ""Ich bin von Kopf bis Fuß auf Liebe eingestellt""? ";Friedrich Holländer;Pavel Lettländer;Nikolas Engländer;Hans Helgoländer;https://faustkultur.de/3161-0-Lieder-von-Friedrich-Hollaender-.html
"Wer ist Regisseur und einer der Hauptdarsteller des Kultfilms ""Easy Rider""? ";Dennis Hopper;John Travolta;Donald Sutherland;Peter Fonda;https://www.diepresse.com/556438/dennis-hopper-easy-rider-und-hollywood-rebell#slide-5
Wo war Corazon Aquino von 1986-1992 Staatspräsidentin?;Philippinen;Thailand;Indonesien;Mexiko;https://monde-diplomatique.de/artikel/!421991
Welcher Baum zählt zu den Nadelhölzern? ;Eibe;Eiche;Erle;Esche;https://www.bluehendesoesterreich.at/naturmagazin/10-nadelbaeume-die-man-kennen-muss
"Mit welchem Material beschäftigt man sich beim japanischen ""Ikebana""? ";Blumen;Papier;Holz;Glas;https://www.mein-schoener-garten.de/lifestyle/gruenes-leben/ikebana-blumen-gestecke-im-japanischen-stil-selber-machen-34146
Welches der folgenden Tiere ist kein Vogel? ;roter Knurrhahn;Blesshuhn;Waldschnepfe;Marabu;https://www.biologie-seite.de/Biologie/Roter_Knurrhahn
Aus welcher Pflanze wird Rum hergestellt? ;Zuckerrohr;Hanf;Trockenreis;Wacholder;https://ruminfo.de/rum-herstellung
Welches Land zeigt in seiner Flagge den Umriß des Landes?;Zypern;Honduras;Israel;Guatemala;https://www.zypern.de/zypern-auf-einen-blick/
"Wer schrieb ""Die neuen Leiden des jungen W.""? ";Ulrich Plenzdorf;Jurek Becker;Rainer Kunze;Alfred Andersch;https://literaturhandbuch.de/inhaltsangabe-die-neuen-leiden-des-jungen-w-von-ulrich-plenzdorf/
Welches ist die größte Riesenschlange? ;die Anakonda;die Python;die grüne Mamba;die Kobra;https://www.wissenschaft.de/umwelt-natur/anakonda-2/
"Wer schrieb den Roman ""Das Geisterhaus""? ";Isabel Allende;Evita Peron;Milan Kundera;Pablo Neruda;https://www.suhrkamp.de/isabel-allende/das-geisterhaus_942.htmll
Wann wurde der Maler Anselm Feuerbach geboren? ;1829;1880;1935;1799;https://www.museumsportal-rlp.de/ausstellungen/sammlung-anselm-feuerbach
Mit wem stand Sir Edmund Hillary 1953 auf dem Gipfel des Mount Everest?;Tenzing Norgay;Nasreddin Hodscha;Nursay Pimsorn;Abrindranath Singh;https://www.geo.de/wissen/21696-rtkl-edmund-hillary-der-imker-der-den-mount-everest-eroberte
Zu welchem Land gehört Zypern?;zu Griechenland und Türkei;zur Türkei;ist ein eigenes Land;zu Griechenland;https://reiseziele.ch/zypern-die-geteilte-mittelmeerinsel//
Von welcher Bank wurden am 16. Juli 1661 die ersten europäischen Banknoten ausgegeben?;Stockholms Banco;Fugger-Bank;Banque National de Paris;Syndicate Bank;https://orf.at/v2/stories/2068315/2068314/
Auf welcher Insel verständigen sich die Einwohner über lange Distanzen mithilfe einer Pfeifsprache? ;Gomera;Rhodos;Madeira;Malta;https://orf.at/v2/stories/2161157/2161156/
Welcher Komponist saß 4 Wochen im Gefängnis?;Johann Sebastian Bach;John Lennon;Johannes Brahms;Elton John;https://www.deutschlandfunkkultur.de/universum-jsb-9-johann-sebastian-bach-im-weimarer.3888.de.html?dram:article_id=464585
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
